beside	ondoan
remedial	terapeutiko
thermal	termiko
terminal	terminal
terrorist	terrorista
textual	testual
assertive	tinko
typical	tipiko
tyrannical	tiraniko
tolerant	tolerante
naïve	tolesgabe
ingenuous	tolesgabe
collapsible	tolesgarri
tonic	toniko
silly	tonto
topical	topiko
topographical	topografiko
totalitarian	totalitario
toxic	toxiko
traditional	tradizional
tragic	tragiko
treacherous	traidore
awkward	trakets
clumsy	trakets
gauche	trakets
ungainly	trakets
unsociable	tratagaitz
traumatic	traumatiko
skillful	trebe
accomplished	trebe
competent	trebe
deft	trebe
proficient	trebe
skilful	trebe
skilled	trebe
inexperienced	trebetasunikgabe
triangular	triangeluar
tribal	tribal
bushy	trinko
greedy	tripazain
sad	triste
sorry	triste
doleful	triste
downcast	triste
forlorn	triste
morose	triste
unhappy	triste
tropical	tropikal
interchangeable	trukagarri
turkish	turko
affective	txeratsu
meager	txiki
meagre	txiki
miniature	txiki
petite	txiki
minuscule	txikitxiki
chinese	txinatar
neat	txukun
spruce	txukun
txukun	txukun
awesome	txundigarri
white	txuri
white	zuri
municipal	udaleko
abundant	ugari
numerous	ugari
bumper	ugari
luxuriant	ugari
undeniable	ukaezin
intact	ukigabe
comprehensible	ulergarri
understandable	ulergarri
sympathetic	ulerkor
understanding	ulerkor
enlightened	ulerkor
incomprehensible	ulertezin
ultraviolet	ultramore
une	ultramore
universal	unibertsal
college	unibertsitario
university	unibertsitario
university	unibertsitateko
uniform	uniforme
blue	urdin
edgy	urduri
jumpy	urduri
uneasy	urduri
unsettled	urduri
uptight	urduri
corresponding	urgazle
express	urgente
abrasive	urratzaile
deficient	urri
scant	urri
scanty	urri
sparse	urri
distant	urrun
remote	urrun
annual	urteko
yearly	urteko
vintage	urtetsu
juicy	urtsu
watery	urtsu
molten	urtu
odourless	usaingabe
redolent	usaintsu
unexpected	ustekabeko
corrupt	ustel
crooked	ustel
putrid	ustel
rotten	ustel
presumptive	ustezko
untapped	ustiatugabe
disused	utzi
diffident	uzkur
valencian	valentziar
soapy	xaboidun
prodigal	xahutzaile
delightful	xarmagarri
outlandish	xelebre
stingy	xuhur
modest	xume
wide	zabal
broad	zabal
extensive	zabal
vast	zabal
lengthy	zabal
spacious	zabal
negligent	zabar
remiss	zabar
elderly	zahar
antique	zahar
old	zahar
decrepit	zahar
inveterate	zahar
stale	zahar
outdated	zaharkitu
obsolete	zaharkitu
oldfashioned	zaharkitu
eldest	zaharren
senior	zaharren
difficult	zail
arduous	zail
complicated	zail
tangled	zail
testing	zail
tough	zail
brusque	zakar
crass	zakar
curt	zakar
gruff	zakar
hoarse	zakar
horrid	zakar
husky	zakar
rude	zakar
surly	zakar
moot	zalantzagarri
undoubted	zalantzarikgabe
doubtful	zalantzati
doubtful	zalantzazko
hesitant	zalantzati
indecisive	zalantzati
rowdy	zalapartatsu
vociferous	zalapartatsu
enthusiast	zale
fanatic	zale
keen	zale
oppressive	zapaltzaile
insipid	zaporegabe
tasteless	zaporegabe
succulent	zaporetsu
tasty	zaporetsu
noisy	zaratatsu
boisterous	zaratatsu
shrill	zaratatsu
tipsy	zarbel
shabby	zarpail
spendthrift	zarrastel
vulnerable	zaurgarri
unhurt	zauririkgabe
unscathed	zauririkgabe
indirect	zeharkako
concrete	zehatz
fastidious	zehatz
meticulous	zehatz
detailed	zehaztu
indeterminate	zehaztugabe
imprecise	zehaztugabe
inaccurate	zehaztugabe
indefinite	zehaztugabe
undefined	zehaztugabe
cellular	zelular
numerical	zenbakizko
innumerable	zenbatezin
numberless	zenbatezin
countless	zenbatezin
centre	zentral
intractable	zentzakaitz
circumspect	zentzudun
ludicrous	zentzugabe
meaningless	zentzugabe
mindless	zentzugabe
nonsensical	zentzugabe
preposterous	zentzugabe
senseless	zentzugabe
unwise	zentzugabe
ceramic	zeramiko
cervical	zerbikal
ceremonial	zeremoniatsu
heavenly	zerutar
sciatic	ziatiko
civil	zibil
civilian	zibil
scientific	zientifiko
grimy	zikin
grubby	zikin
mucky	zikin
seedy	zikin
sordid	zikin
squalid	zikin
rightful	zilegi
cinematographic	zinematografiko
cynical	ziniko
heartfelt	zintzo
honest	zintzo
sincere	zintzo
straightforward	zintzo
truthful	zintzo
wellbehaved	zintzo
circular	zirkular
virulent	zital
confident	ziur
certified	ziurtatu
incisive	ziztatzaile
raucous	zoli
resonant	zoli
zonal	zona
zoological	zoologiko
dizzy	zorabiatu
giddy	zorabiatu
seasick	zorabiatu
queasy	zorabiatuta
charming	zoragarri
happy	zorioneko
happy	zoriontsu
joyous	zoriontsu
blissful	zoriontsu
mad	zoro
demented	zoro
zany	zoro
indebted	zorpetu
rigorous	zorrotz
drastic	zorrotz
exacting	zorrotz
excruciating	zorrotz
painstaking	zorrotz
perceptive	zorrotz
stringent	zorrotz
arborescent	zuhaitz
discreet	zuhur
cautious	zuhur
demure	zuhur
prudent	zuhur
sensible	zuhur
shrewd	zuhur
tactful	zuhur
reckless	zuhurtziagabe
pale	zurbil
pasty	zurbil
wan	zurbil
blank	zuri
obsequious	zuri
subservient	zuri
rigid	zurrun
stiff	zurrun
correct	zuzen
straight	zuzen
direct	zuzen
direct	zuzeneko
equitable	zuzen
forthright	zuzen
righteous	zuzen
managerial	zuzendaritza
unqualified	zigorgabe
versus	versus
usually	ohi
apparently	bide
apparently	dirudienez
Efe	Efe
advisory	aholkulari
takeintoconsideration	aintzathartu
ally	aliatu
maternal	amaldeko
dreamy	ameslari
unpublished	argitaragabe
be	aritu
be	jardun
be	izan
forward	aurrelari
predict	aurresan
predict	aurretikjakin
allthewaydown	azpiraino
united	batu
hardworking	behargin
thathasto	beharreko
bellicose	beliko
bosnian	bosniar
obliged	derrigorrezko
dominican	dominikar
donostian	donostiar
obligation	eginkizun
obligation	obligazio
nonBasquespeaking	erdaldun
translatefromBasque	erdaratu
timed	erlojupeko
sprout	erne
sprout	hozitu
concerning	erreferente
reflex	erreflexu
smoker	erretzaile
romanian	errumaniar
thank	eskerrakeman
thank	eskertu
rightwing	eskuindar
covered	estali
lay	etzan
lay	jarri
lay	paratu
europeanise	europartu
beunableto	ezinda
beunableto	ezinik
leftwing	ezkertiar
single	ezkongai
soaked	ezkozestali
spark	eztandarazi
unbelieving	fedegabe
officeofthepublicprosecutor	fiskaltza
file	fitxatu
file	agiritegiangorde
file	artxibatu
shoot	fusilatu
shoot	tiratu
shoot	tiroegin
toabove	gaineraino
flood	gainezegin
flood	urpetu
other	gainontzeko
prepare	gaitu
prepare	prestatu
sicken	gaixotu
gallic	galiar
putupthepriceof	garestitu
immobility	gelditasun
close	gerturatu
close	itxi
close	zarratu
such	halako
such	horrelako
creditor	hartzekodun
getpregnant	haurdundu
probe	haztatu
probe	ikertu
peoples	herrikoi
agree	hitzartu
agree	adostu
agree	batetorri
agree	adosjarri
comeclose	hurreratu
comeclose	arrimatu
office	idazkaritza
office	bulego
ikurrina	ikurrin
ikurrina	ikurriñ
inaugurate	inauguratu
recuperate	indarberritu
recuperate	berreskuratu
recuperate	leheneratu
independentist	independentista
computerspecialist	informatikari
deposit	ingresatu
deposit	utzi
isolate	inkomunikatu
isolate	bakartu
isolate	isolatu
isolation	inkomunikazio
inscribe	inskribatu
inscribe	izenaeman
institution	instituzio
subject	irakasgai
subject	afera
subject	gai
subject	materia
iraqi	irakiar
smiling	irribarretsu
seem	iruditu
seem	iritzi
pamplonese	iruindar
mocking	isekari
shutup	isildu
islamist	islamista
totheoutside	kanporaino
singer	kantari
capillary	kapilar
proCatalan	katalanista
complaint	kereila
complaint	denuntzia
complaint	kexa
complaint	kexu
sporty	kirolari
colonising	kolonizatzaile
contracting	kontratazio
criminal	kriminal
qualitative	kualitatibo
quantitative	kuantitatibo
workstation	lanpostu
outsidethelaw	legezkanpo
outlaw	legezkanpoko
notexpectingmuch	luzegabe
cheapen	merkatu
sour	mingostu
sour	garraztu
monographic	monografiko
navarran	nafar
neoliberal	neoliberal
doc	oceko
puttobed	oheratu
occitan	okzitaniar
domesticate	olatu
tackle	oldartu
tackle	hasi
tackle	sarreraegin
legislation	ordenamendu
legislation	legedi
legislation	legegintza
toaheight	pareraino
past	paretik
rest	pausatu
rest	atsedeneman
rest	deskantsatu
pensioner	pentsiodun
below	petik
below	azpian
below	azpira
below	behean
below	behera
below	pe
below	pean
crash	puskatu
crash	elkarjo
crash	erori
crash	talkaegin
safely	salbu
corroborate	sendotu
corroborate	berretsi
presage	sumatu
presage	iragarri
pawn	tematu
pawn	bahituraneman
alittle	tokiantokiko
formality	tramite
inclined	zehar
wrinkled	zimur
fromtimetotime	aldianaldian
fromtimetotime	noizbehinka
fromtimetotime	noizeanbehin
fromtimetotime	tarteka
attentively	adi
forexample	adibidez
intheprimeoflife	adinarenlorean
possibly	ahaldela
theotherwayaround	alderantziz
wrongsideout	alderantziz
theotherwayround	alderantziz
upsidedown	alderantziz
backtofront	alderantziz
insideout	alderantziz
previously	aldezaurretik
inadvance	aldezaurretik
inadvance	aurrez
tolittleavail	alferrik
invain	alferrik
inatrice	amenbatean
inatrice	istantbatean
assoonas	apenas
barely	apenas
nosooner	apenas
continually	ardura
continuously	ardura
everynowandagain	ardura
weekinweekout	ardura
evidently	argietagarbi
inablinkoftheeye	arnasbatean
inablinkoftheeye	istantbatean
inthetwinklingofaneye	arnasbatean
inthetwinklingofaneye	istantbatean
intheafternoon	arratsaldez
alltheway	arrunt
alltheway	guztiz
completely	arrunt
completely	burutikoinera
completely	guztiz
entirely	arrunt
entirely	guztiz
rightthrough	arrunt
rightthrough	guztiz
straightthrough	arrunt
straightthrough	guztiz
tocapacity	arrunt
tocapacity	guztiz
totheground	arrunt
totheground	guztiz
wholly	arrunt
wholly	guztiz
untilnomoreisneedednordesired	asearte
alot	asko
alot	franko
awfully	asko
awfully	franko
dearly	asko
dearly	franko
greatly	asko
greatly	franko
hugely	asko
hugely	franko
much	asko
much	franko
verymuch	asko
verymuch	franko
totheutmost	asko
toalargeextent	asko
inacrazyway	askopentsatugabe
allthebetter	askozhobeto
milesbetter	askozhobeto
muchbetter	askozhobeto
slow	astiro
slow	poliki
slowly	astiro
slowly	osopoliki
slowly	poliki
back	atzean
back	atzera
behind	atzean
behind	ondotik
yesterday	atzo
shortly	aurki
atthefront	aurrean
atthefront	parean
inthelead	aurrean
inthelead	parean
tothefore	aurrean
tothefore	parean
ahead	aurrera
forth	aurrera
beforehand	aurrez
onahead	aurrez
thisyear	aurten
quickly	azkar
quickly	presaka
lately	azkenaldian
attheend	azkenean
atanend	azkenean
intheend	azkenean
thelasttime	azkenekoaldian
atlast	azkenik
atlonglast	azkenik
finally	azkenik
under	azpian
under	pe
under	pean
beneath	azpian
beneath	pe
beneath	pean
underneath	azpian
underneath	azpitik
underneath	pe
underneath	pean
down	azpira
down	behean
down	behera
downbelow	azpira
downbelow	behean
downbelow	behera
downstairs	azpira
downstairs	behean
downstairs	behera
downward	azpira
downward	behean
downward	behera
low	azpira
low	behean
low	behera
quietly	azpira
quietly	behean
quietly	behera
downwards	azpirantz
downwards	beherantz
justincase	badaezpada
yes	bai
only	bainoez
only	bakarrik
only	besterikez
only	soilik
alone	bakarrik
just	bakarrik
just	justu
solely	bakarrik
thesame	baliteke
thesame	berdin
even	barne
in	barruan
within	barruan
lastnight	bart
lastnight	bartarratsean
lastnight	bartgauean
suddenly	batbatean
suddenly	bertanbehera
allofasudden	batbatean
allofasudden	bertanbehera
onimpulse	batbatean
onimpulse	bertanbehera
outoftheblue	batbatean
outoftheblue	bertanbehera
inIndianfile	batabestearenatzean
singlefile	batabestearenatzean
oneafteranother	batabestearenatzetik
oneaftertheother	batabestearenatzetik
foronereasonoranother	batadelabesteadela
atatime	batera
atatime	behingoan
aboveall	batezere
aboveall	batikbat
especially	batezere
especially	batikbat
especially	bereziki
sometimes	batzuetan
ontiptoe	behatzpuntetan
once	behin
fornow	behinbehinean
fornow	oraingoz
definitively	behinbetiko
foreverandever	behinbetiko
foreverandever	behinetabetiko
foreverandever	betiko
foreverandever	gizaldietagizaldietan
frankly	benebenetan
outright	benebenetan
late	berandu
late	berant
therefore	beraz
pointblank	berbertatik
pointblank	ondoondotik
forthwith	berehala
forthwith	segituan
immediately	berehala
immediately	segituan
inalittlewhile	berehala
inalittlewhile	segituan
inshortorder	berehala
inshortorder	segituan
rightaway	berehala
rightaway	segituan
straightaway	berehala
straightaway	segituan
thenandthere	berehala
thenandthere	segituan
thereandthen	berehala
thereandthen	segituan
atamomentsnotice	berehala
atamomentsnotice	segituan
inajiffy	berehala
separately	bereiz
specially	bereziki
again	berriro
again	bestebehin
there	bertan
there	han
there	hara
fully	betebetean
always	beti
always	betiere
halfoftheway	bideerdi
midway	bideerdi
unfairly	bidegabe
second	bigarren
forthesecondtime	bigarrenaldiz
tomorrow	bihar
twice	birritan
meanwhile	bitartean
intheinterim	bitartean
inthemeantime	bitartean
inthemeanwhile	bitartean
meantime	bitartean
acutely	biziki
inatorrent	borbor
headoverheels	burutikoinera
already	dagoeneko
already	jada
already	jadanik
nextweek	datorrenastean
nextyear	datorrenurtean
anyway	denaere
anyway	edonola
anyway	hitzbatez
anyway	nolanahi
anyway	nolanahiere
overtime	denboraz
unwillingly	desgogara
enough	dezente
enough	nahiko
quitealot	dezente
quitealot	nahiko
rather	dezente
rather	nahiko
free	dohain
free	dohainik
ofcourse	dudarikgabe
ofcourse	noski
allright	ederki
allright	ondo
allright	ongi
allright	onik
alright	ederki
alright	ondo
alright	ongi
alright	onik
fine	ederki
fine	ondo
fine	ongi
fine	onik
good	ederki
good	ondo
good	ongi
good	onik
right	ederki
right	ondo
right	ongi
right	onik
well	ederki
well	ondo
well	ongi
well	onik
actually	egiaesan
actually	izanere
itsnousecryingoversplitmilk	eginariaurreeman
nowadays	egun
nowadays	gauregun
onalongtermbasis	epeluzera
intheshortterm	epemotzera
onashorttermbasis	epemotzera
onasmallscale	epemotzera
half	erdipurdi
also	ere
also	erebai
aswell	ere
too	ere
either	ereez
either	eztaere
neither	ereez
neither	eztaere
nothingatall	ezerereez
byfitsandstarts	eroeroan
onthesurface	errazagertu
withouthavinganythingtodowithit	errurikizangabe
ingreatquantity	erruz
ingreatquantity	saldoka
athand	eskura
athand	eskuz
byhand	eskura
byhand	eskuz
closeathand	eskura
closeathand	eskuz
inhand	eskura
inhand	eskuz
longhand	eskura
longhand	eskuz
manually	eskura
manually	eskuz
onhand	eskura
onhand	eskuz
upforgrabs	eskura
upforgrabs	eskuz
desperately	etsietsian
thedayaftertomorrow	etzi
non	ez
not	ez
withoutapurpose	ezbatetaezbi
flawlessly	ezinhobeki
perfectly	ezinhobeki
wonderfully	ezinhobeto
necessarily	ezinbestean
torightandleft	ezkereskuin
inbadfaith	fedetxarrean
forte	forte
basically	funtsean
on	gainean
on	gainera
over	gainean
over	gainera
uppermost	gainean
uppermost	gainera
additionally	gainera
besides	gainera
furthermore	gainera
inaddition	gainera
intothebargain	gainera
moreover	gainera
thereagain	gainera
upwards	gainerantz
upwards	gorantz
inboldstrokes	gaingiroki
badly	gaizki
overnight	gauetikgoizera
today	gaur
tonight	gaurgauean
anymore	gehiago
anymore	gehien
best	gehiago
best	gehien
else	gehiago
else	gehien
more	gehiago
more	gehien
most	gehiago
most	gehien
toomuch	gehiegi
toomuch	sobera
atmost	gehienez
attheoutside	gehienez
after	gero
after	ondoren
after	ostean
afterwards	gero
afterwards	ondoren
afterwards	ostean
thereafter	gero
thereafter	ondoren
thereafter	ostean
frombadtoworse	geroetaokerrago
later	geroago
fromnowon	gerokoan
fromnowon	hemendikaurrera
since	geroztik
since	harrezkero
near	gertu
near	hurbil
nearhere	gertu
nearhere	hurbil
hard	gogor
reluctantly	gogozbestera
aloft	goian
aloft	gora
ontop	goian
ontop	gora
up	goian
up	gora
upward	goian
upward	gora
early	goiz
early	laster
little	gutxi
ifthatwerentenough	gutxibalitzbezala
least	gutxiago
less	gutxiago
atleast	gutxienez
bytheskinofonesteeth	gutxigatik
bytheskinofmyteeth	gutxigatik
bytheskinofyourteeth	gutxigatik
bytheskinofhisteeth	gutxigatik
bytheskinofherteeth	gutxigatik
bytheskinofitsteeth	gutxigatik
bytheskinofourteeth	gutxigatik
bytheskinoftheirteeth	gutxigatik
byawhisker	gutxigatik
byahairsbreadth	gutxigatik
afterall	guztiarekinere
somuch	hainbeste
somuch	honenbeste
somuch	horrenbeste
likethis	hala
thereby	hala
thus	hala
however	halaere
though	halaere
bychance	halabeharrez
likewise	halaber
outthere	han
outthere	hara
overthere	han
overthere	hara
beyond	harantzago
frombeginningtoend	hasietabuka
uptohere	hemen
here	hemen
here	hona
here	hor
here	horra
overhere	hemen
overhere	hona
henceforth	hemendikaurrera
henceforward	hemendikaurrera
hereafter	hemendikaurrera
hereby	hemendikaurrera
hereinafter	hemendikaurrera
justhere	hementxe
righthere	hementxe
thedaybeforeyesterday	herenegun
theeveningbeforelast	herenegungauean
thenightbeforelast	herenegungauean
intriplicate	hiruale
afterthismanner	honela
inthisfashion	honela
inthisway	honela
thisway	honela
bythepresent	honenbidez
straight	hutsik
narrowly	ia
downstream	ibaianbehera
upstream	ibaiangora
enormously	ikaragarri
byforce	indarrez
byforce	nahitaez
around	inguruan
around	ingurura
ever	inoiz
ever	inoizez
ever	sekula
never	inoiz
never	inoizez
never	sekula
notinyourlife	inoizez
absolutelynot	inolaere
bynomeans	inolaereez
nomatterwhat	inondikinoraez
ataguess	iritzira
undercover	isilean
blindly	itsuitsuan
gropingly	itsumustuka
accordingtoofficialsources	iturriofizialenarabera
asamatteroffact	izanere
infact	izanere
indeed	izanere
basedonfacts	jakinarengainean
knowingly	jakinda
byforcedmarches	joetake
away	kanpoan
away	kanpora
off	kanpoan
off	kanpora
out	kanpoan
out	kanpora
atonestroke	kolpebatez
regardless	kostaahalakosta
briefly	labur
inbrief	labur
inbrief	laburbilduz
soon	laster
asyet	lasterarte
asyet	orainarte
heretofore	lasterarte
heretofore	orainarte
tothisveryday	lasterarte
tothisveryday	orainarte
uptillnow	lasterarte
uptillnow	orainarte
uptonow	lasterarte
uptonow	orainarte
uptothepresent	lasterarte
uptothepresent	orainarte
upuntilnow	lasterarte
upuntilnow	orainarte
legally	legez
first	lehen
first	lehendabizi
first	lehenengo
first	lehenik
firstandforemost	lehen
firstly	lehen
firstly	lehengoetabehin
inthefirstplace	lehen
forthefirsttime	lehenaldiz
before	lehenago
shortlybefore	lehenxeago
inthemiddleofnowhere	lekutan
inthelongrun	luzarora
often	maiz
often	sarri
withoutpaying	musutruk
notoriously	nabarmen
chiefly	nagusiki
mainly	nagusiki
primarily	nagusiki
principally	nagusiki
partly	neurribatean
sometime	noizbait
onceinawhile	noizbehinka
onceinawhile	noizeanbehin
onceinawhile	tarteka
everynowandthen	noizbehinka
everynowandthen	noizeanbehin
everynowandthen	tarteka
everysooften	noizbehinka
everysooften	noizeanbehin
everysooften	tarteka
nowandagain	noizbehinka
nowandagain	noizeanbehin
nowandagain	tarteka
nowandthen	noizbehinka
nowandthen	noizeanbehin
nowandthen	tarteka
onoccasion	noizbehinka
onoccasion	noizeanbehin
onoccasion	tarteka
onceinabluemoon	noizeanbehin
how	nola
somehow	nolabait
where	non
regularly	normalean
officially	ofizialki
onrecord	ofizialki
onfoot	oinez
onboard	ontzian
aboard	ontzian
now	orain
still	oraindik
yet	oraindik
forthetimebeing	oraingoz
forthemeantime	oraingoz
forthemoment	oraingoz
instead	ordea
conversely	ordea
then	orduan
allinall	orohar
byandlarge	orohar
generallyspeaking	orohar
ingeneral	orohar
inthegenerality	orohar
inthemain	orohar
onthewhole	orohar
overall	orohar
firstofall	ororengainetik
instyle	ospehandiz
high	ozen
withutmostdifficulty	oztaozta
throughthickandthin	oztopoakoztopo
abit	pixkabat
alittlebit	pixkabat
some	pixkabat
somewhat	pixkabat
byreturnofpost	postarenitzuleran
byreturnmail	postarenitzuleran
gladly	poz
atthedropofahat	pozarren
proportionally	proportzionalki
proportionately	proportzionalki
ready	puntuan
intoshape	puntuan
readytooperate	puntuan
indepth	sakon
forsure	segurtasunosoz
forsure	seguru
forsure	ziur
sure	seguru
sure	ziur
seriously	serio
systematically	sistematikoki
jokingly	txantxetan
far	urrun
far	urruti
far	urrutian
far	urrutira
ingreatdetail	xehetasunguztiaz
ingreatdetail	zehatzmehatz
widely	zabal
definitely	zalantzarikgabe
nodoubt	zalantzarikgabe
beyondquestion	zalantzarikgabe
withoutadoubt	zalantzarikgabe
withoutdoubt	zalantzarikgabe
withoutquestion	zalantzarikgabe
beyondalldoubt	zalantzarikgabe
beyondadoubt	zalantzarikgabe
beyondallshadowofadoubt	zalantzarikgabe
amidalotofhype	zalapartahandiz
edgewise	zehar
edgewise	zeharka
sideways	zehar
sideways	zeharka
why	zergatik
surely	ziuraski
surely	ziurasko
carelessly	ziztubizian
rapidly	ziztubizian
atfullspeed	ziztubizian
fortunately	zorionez
luckily	zorionez
thankfully	zorionez
Afghanistan	Afganistan
WallStreet	WallStreet
Vietnam	Vietnam
Amsterdam	Amsterdam
Gernika	Gernika
Africa	Afrika
Agirre	Agirre
Aingeru	Aingeru
Aintzane	Aintzane
Alberto	Alberto
Germany	Alemania
UnitedStates	AmeriketakoEstatuBatu
UnitedStates	AmeriketakoEstatuBatuak
Ana	Ana
Andalucia	Andaluzia
Antonio	Antonio
Araba	Araba
Argentina	Argentina
Arnaldo	Arnaldo
Arrosa	Arrosa
Arzalluz	Arzalluz
Asia	Asia
WesternAsia	Asiamendebalde
Asier	Asier
Atutxa	Atutxa
Aurkene	Aurkene
Austria	Austria
Azkarate	Azkarate
Aznar	Aznar
Baghdad	Bagdad
Bayonne	Baiona
Bakarne	Bakarne
Baltasar	Baltasar
Barcelona	Bartzelona
Basauri	Basauri
Begoña	Begoña
Belgium	Belgika
Benedikto	Benedikto
Bernart	Bernart
Byelorussia	Bielorrusia
Bilbao	Bilbao
Bilbao	Bilbo
Biscay	Bizkaia
Blair	Blair
Bolivia	Bolivia
Bosnia	Bosnia
Brazil	Brasil
Brussels	Brusela
Bulgaria	Bulgaria
Bush	Bush
Carlos	Carlos
CarodRovira	CarodRovira
Castro	Castro
Dakar	Dakar
Denmark	Danimarka
David	David
Domingo	Domingo
Donostia	Donostia
Dublin	Dublin
Egibar	Egibar
Egypt	Egipto
ElizabethII	ElisabetII
MiddleEarth	ErdialdekoLurralde
Erkoreka	Erkoreka
UnitedKingdom	ErresumaBatua
UK	ErresumaBatua
Romania	Errumania
Russia	Errusia
Ertzaintza	Ertzaintza
Spain	Espainia
Strasbourg	Estrasburgo
Etxeberria	Etxeberria
Europe	Europa
EuropeanUnion	EuropakoBatasun
EuropeanUnion	EuroparBatasun
BasqueCountry	EuskalHerri
Fernández	Fernandez
Fernando	Fernando
Philippines	Filipinak
Finland	Finlandia
France	Frantzia
Frantzisko	Frantzisko
Galicia	Galizia
García	Garcia
Vitoria	Gasteiz
Gaza	Gaza
George	George
Gipuzkoa	Gipuzkoa
Goirizelaia	Goirizelaia
Gondor	Gondor
González	Gonzalez
Gorka	Gorka
Grenada	Granada
SouthAfrica	HegoAfrika
Hernani	Hernani
Holland	Holanda
Huegun	Huegun
Hussein	Hussein
Ibarretxe	Ibarretxe
Igor	Igor
Imaz	Imaz
India	India
Indonesia	Indonesia
NorthernBasqueCountry	IparEuskalHerri
SouthernBasqueCountry	HegoEuskalHerri
Iraq	Irak
Iran	Iran
Ireland	Irlanda
Israel	Israel
Italy	Italia
Iñaki	Iñaki
JRRTolkien	JRRTolkien
Japan	Japonia
Jasone	Jasone
Javier	Javier
Jean	Jean
Jesús	Jesús
Joan	Joan
John	John
Jon	Jon
Jordan	Jordania
Jorge	Jorge
Jose	Jose
Joseba	Joseba
Josu	Josu
Joxe	Joxe
Juan	Juan
Juana	Juana
Julia	Julia
Julio	Julio
Jurgi	Jurgi
Justi	Justi
Canada	Kanada
Cantabria	Kantabria
Karmele	Karmele
Katalina	Katalina
Catalonia	Katalunia
Koldo	Koldo
Colombia	Kolonbia
Congo	Kongo
Kontxesi	Kontxesi
Korea	Korea
Kosovo	Kosovo
Kristina	Kristina
Cristo	Kristo
Cuba	Kuba
Kurdistan	Kurdistan
Lana	Lana
Labourd	Lapurdi
LatinAmerica	Latinoamerika
León	León
Lebanon	Libano
Lisbon	Lisboa
London	Londres
López	Lopez
Luis	Luis
Luisa	Luisa
Madrid	Madril
Maitane	Maitane
Manuel	Manuel
Mari	Mari
Maria	Maria
Mariano	Mariano
Marino	Marino
Marko	Marko
Morocco	Maroko
Martín	Martín
Mexico	Mexiko
Miguel	Miguel
Mikel	Mikel
Milan	Milan
Miren	Miren
Modesto	Modesto
Munich	Munich
Máximo	Máximo
Navarra	Nafarroa
UnitedNations	NazioBatuenErakunde
Nepal	Nepal
NewYork	NewYork
Nicaragua	Nikaragua
Olano	Olano
Otegi	Otegi
Pakistan	Pakistan
Paris	Paris
París	París
Patxi	Patxi
Pau	Paue
Paulina	Paulina
Paulo	Paulo
Pedro	Pedro
Peking	Pekin
Pérez	Perez
Pyrenees	Pirinio
Rafa	Rafa
Ramon	Ramon
Roberto	Roberto
Rodríguez	Rodriguez
Rwanda	Ruanda
Rubalcaba	Rubalcaba
Ruiz	Ruiz
Saddam	Saddam
Saez	Saez
Salbatore	Salbatore
Sarkozy	Sarkozy
Segundo	Segundo
Serbia	Serbia
Severo	Severo
Siria	Siria
Syria	Siria
Switzerland	Suitza
Sáez	Sáez
Taliban	Taliban
AlQaeda	AlKaeda
AlFata	AlFata
Berriainfo	Berriainfo
Hezbollah	Hezbola
Hamas	Hamas
Generalitat	Generalitat
Aralar	Aralar
Batasuna	Batasuna
Etxerat	Etxerat
BasqueNationalistParty	EuskadiBuruBatzar
BasqueNationalistParty	EuzkadiBuruBatzar
EzkerBatua	EzkerBatua
SaintJohn	Donibane
NafarroaBai	NafarroaBai
BasqueSolidarity	EuskoAlkartasuna
Teresa	Teresa
Tito	Tito
Turkey	Turkia
CzechRepublic	Txekia
CzechRepublic	TxekiarErrepublika
Geneva	Geneva
Castile	Gaztela
Azpeitia	Azpeitia
Azkoitia	Azkoitia
Barajas	Barajas
Cuenca	Cuenca
Chile	Txile
China	Txina
Ugalde	Ugalde
Ukraine	Ukraina
Unai	Unai
Urbano	Urbano
Urkullu	Urkullu
Valencia	Valencia
Valencia	Valentzia
Venezuela	Venezuela
Viktoria	Viktoria
VitoriaGasteiz	VitoriaGasteiz
Washington	Washington
Xabier	Xabier
Zabaleta	Zabaleta
Zapatero	Zapatero
Zimbabwe	Zimbawe
Zorione	Zorione
Ahetze	Ahetze
WestBank	Zisjordania
Hondarribia	Hondarribia
Hondarribia	Hondarribi
Zornotza	Zornotza
Hendaye	Hendaia
Pasaia	Pasaia
Moncloa	Moncloa
Lujo	Luxo
Euskadi	Euskadi
Euskadi	Euzkadi
Tibet	Tibet
SouthKorea	HegoKorea
Havana	Habana
Saragossa	Zaragoza
Amman	Amman
Amurrio	Amurrio
Andoain	Andoain
Mondragón	Arrasate
Barakaldo	Barakaldo
Bergara	Bergara
Bermeo	Bermeo
Bordeaux	Bordele
BosniaandHerzegovina	BosniaHerzegovina
SaintJeandeLuz	DonibaneLohizune
Dulantzi	Dulantzi
Durango	Durango
Eibar	Eibar
Elgoibar	Elgoibar
Ermua	Ermua
Errenteria	Errenteria
Getxo	Getxo
NorthernCatalonia	IparKatalunia
NorthKorea	IparKorea
Irun	Irun
Pamplona	Iruñe
Pamplona	Iruña
Pamplona	Iruñea
Istanbul	Istanbul
Cologne	Kolonia
Corsica	Korsika
Leon	Leon
Milagro	Milagro
Oiartzun	Oiartzun
Occitania	Okzitania
Ondarroa	Ondarroa
Orio	Orio
Palestine	Palestina
Portugalete	Portugalete
Réunion	Reunion
Santurtzi	Santurtzi
Sestao	Sestao
